elapsed_s,voltage_V,current_A,temp_bat1_C,soc_cc_pct,soc_jk_pct,soc_ekf_pct,err_jk_pct,err_ekf_pct,v_pred_V
174.397,26.276,4.84,28.2,30.955,31.0,30.9762,-0.045,-0.0212,26.26836
175.321,26.276,4.84,28.2,30.961,31.0,30.9825,-0.039,-0.0215,26.27336
176.341,26.276,4.92,28.2,30.9677,31.0,30.9892,-0.0323,-0.0215,26.27498
177.37,26.276,4.92,28.2,30.9745,31.0,30.9963,-0.0255,-0.0219,26.27318
178.39,26.275,4.88,28.2,30.9811,31.0,31.0033,-0.0189,-0.0221,26.27225
179.322,26.279,4.92,28.2,30.9872,31.0,31.0106,-0.0128,-0.0234,26.27337
180.335,26.279,4.92,28.2,30.9939,31.0,31.0176,-0.0061,-0.0237,26.27614
181.463,26.281,4.84,28.2,31.0012,31.0,31.0268,0.0012,-0.0256,26.27393
182.379,26.281,4.84,28.2,31.0071,31.0,31.033,0.0071,-0.0259,26.27828
183.407,26.282,4.92,28.3,31.0139,31.0,31.04,0.0139,-0.0261,26.27986
184.33,26.281,4.92,28.3,31.0199,31.0,31.0461,0.0199,-0.0262,26.27934
185.35,26.281,4.88,28.2,31.0266,31.0,31.0533,0.0266,-0.0268,26.27715
186.373,26.282,4.84,28.2,31.0332,31.0,31.0608,0.0332,-0.0277,26.27709
187.411,26.284,4.92,28.3,31.04,31.0,31.068,0.04,-0.028,26.28082
188.339,26.284,4.92,28.3,31.0461,31.0,31.0744,0.0461,-0.0283,26.28128
189.342,26.285,4.84,28.3,31.0526,31.0,31.0821,0.0526,-0.0296,26.27918
190.368,26.285,4.88,28.3,31.0593,31.0,31.089,0.0593,-0.0297,26.28283
191.389,26.287,4.88,28.2,31.0659,31.0,31.0966,0.0659,-0.0306,26.28196
192.417,26.285,4.92,28.2,31.0727,31.0,31.1033,0.0727,-0.0306,26.28483
193.442,26.285,4.92,28.2,31.0794,31.0,31.1104,0.0794,-0.031,26.28203
194.367,26.285,4.92,28.2,31.0855,31.0,31.1167,0.0855,-0.0312,26.2823
195.384,26.287,4.92,28.3,31.0922,31.0,31.1243,0.0922,-0.0321,26.28204
196.411,26.284,4.92,28.2,31.0989,31.0,31.131,0.0989,-0.0321,26.28395
197.356,26.287,4.92,28.3,31.1051,31.0,31.1384,0.1051,-0.0333,26.2813
198.36,26.29,4.92,28.2,31.1117,31.0,31.1462,0.1117,-0.0345,26.28403
199.379,26.287,4.92,28.2,31.1184,31.0,31.1529,0.1184,-0.0345,26.28691
200.507,26.288,4.88,28.2,31.1258,31.0,31.1613,0.1258,-0.0355,26.28276
201.427,26.288,4.88,28.2,31.1318,31.0,31.1675,0.1318,-0.0357,26.28522
202.365,26.291,4.84,28.3,31.1378,31.0,31.1752,0.1378,-0.0373,26.28423
203.369,26.29,4.92,28.3,31.1444,31.0,31.1818,0.1444,-0.0373,26.28975
204.403,26.291,4.84,28.3,31.1511,32.0,31.1897,-0.8489,-0.0385,26.28502
205.424,26.293,4.84,28.3,31.1577,32.0,31.1972,-0.8423,-0.0395,26.28781
206.447,26.294,4.92,28.3,31.1644,32.0,31.2041,-0.8356,-0.0396,26.29165
207.376,26.294,4.92,28.3,31.1706,32.0,31.2105,-0.8294,-0.0399,26.29112
208.388,26.293,4.88,28.3,31.1771,32.0,31.2174,-0.8229,-0.0402,26.28992
209.414,26.293,4.84,28.3,31.1838,32.0,31.2246,-0.8162,-0.0408,26.28886
210.439,26.296,4.84,28.3,31.1904,32.0,31.2325,-0.8096,-0.0421,26.28976
211.373,26.296,4.84,28.3,31.1964,32.0,31.2388,-0.8036,-0.0424,26.29297
212.387,26.294,4.84,28.3,31.203,32.0,31.2454,-0.797,-0.0424,26.29273
213.406,26.294,4.84,28.3,31.2096,32.0,31.2524,-0.7904,-0.0428,26.29078
214.431,26.299,4.88,28.3,31.2163,32.0,31.2608,-0.7837,-0.0445,26.29171
215.382,26.296,4.88,28.3,31.2225,32.0,31.267,-0.7775,-0.0445,26.29591
216.387,26.302,4.8,28.3,31.2289,32.0,31.2763,-0.7711,-0.0473,26.29095
217.404,26.297,4.8,28.3,31.2354,32.0,31.2827,-0.7646,-0.0473,26.29852
218.425,26.301,4.96,28.3,31.2422,32.0,31.2899,-0.7578,-0.0477,26.29749
219.451,26.301,4.84,28.3,31.2488,32.0,31.2977,-0.7512,-0.0489,26.29488
220.392,26.301,4.84,28.3,31.2549,32.0,31.3041,-0.7451,-0.0492,26.29786
221.401,26.302,4.88,28.3,31.2615,32.0,31.311,-0.7385,-0.0495,26.29859
222.421,26.302,4.96,28.3,31.2682,32.0,31.3178,-0.7318,-0.0496,26.30053
223.445,26.301,4.8,28.3,31.2748,32.0,31.3255,-0.7252,-0.0507,26.29494
224.468,26.299,4.88,28.3,31.2815,32.0,31.3322,-0.7185,-0.0507,26.29946
225.498,26.302,4.88,28.3,31.2882,32.0,31.3401,-0.7118,-0.0519,26.29574
226.412,26.302,4.88,28.3,31.2941,32.0,31.3463,-0.7059,-0.0522,26.299
227.44,26.302,4.92,28.3,31.3009,32.0,31.3533,-0.6991,-0.0524,26.29959
228.464,26.305,4.84,28.3,31.3075,32.0,31.3619,-0.6925,-0.0544,26.29681
229.489,26.304,4.88,28.3,31.3142,32.0,31.3686,-0.6858,-0.0544,26.30247
230.414,26.304,4.88,28.3,31.3202,32.0,31.375,-0.6798,-0.0547,26.30094
231.434,26.305,4.84,28.3,31.3268,32.0,31.3824,-0.6732,-0.0556,26.29968
232.561,26.307,4.92,28.3,31.3342,32.0,31.3903,-0.6658,-0.056,26.3031
233.478,26.307,4.92,28.3,31.3402,32.0,31.3966,-0.6598,-0.0563,26.30393
234.42,26.305,4.88,28.3,31.3464,32.0,31.4028,-0.6536,-0.0564,26.30291
235.426,26.307,4.92,28.3,31.353,32.0,31.41,-0.647,-0.057,26.30262
236.447,26.307,4.92,28.3,31.3597,32.0,31.417,-0.6403,-0.0573,26.30361
237.471,26.307,4.92,28.3,31.3664,32.0,31.4241,-0.6336,-0.0577,26.30361
238.505,26.307,4.92,28.3,31.3732,32.0,31.4312,-0.6268,-0.058,26.30358
239.432,26.307,4.92,28.3,31.3793,32.0,31.4376,-0.6207,-0.0583,26.30393
240.441,26.311,4.88,28.3,31.3859,32.0,31.4461,-0.6141,-0.0602,26.30272
241.467,26.308,4.92,28.3,31.3926,32.0,31.4528,-0.6074,-0.0602,26.30841
242.49,26.311,4.84,28.3,31.3993,32.0,31.4613,-0.6007,-0.0621,26.30273
243.437,26.31,4.84,28.3,31.4054,32.0,31.4676,-0.5946,-0.0622,26.30769
244.451,26.311,4.88,28.3,31.412,32.0,31.4746,-0.588,-0.0626,26.30744
245.459,26.311,4.88,28.3,31.4186,32.0,31.4815,-0.5814,-0.0629,26.30753
246.484,26.311,4.88,28.3,31.4252,32.0,31.4885,-0.5748,-0.0633,26.30748
247.507,26.311,4.92,28.3,31.432,32.0,31.4954,-0.568,-0.0634,26.30844
248.447,26.313,4.92,28.3,31.4381,32.0,31.5023,-0.5619,-0.0642,26.30783
249.462,26.313,4.92,28.3,31.4448,32.0,31.5093,-0.5552,-0.0645,26.30952
250.484,26.314,4.88,28.3,31.4515,32.0,31.5168,-0.5485,-0.0653,26.30856
251.504,26.314,4.92,28.3,31.4582,32.0,31.5237,-0.5418,-0.0655,26.31138
252.524,26.314,4.92,28.3,31.4649,32.0,31.5307,-0.5351,-0.0659,26.3105
253.46,26.314,4.92,28.3,31.471,32.0,31.5371,-0.529,-0.0661,26.31078
254.474,26.316,4.92,28.3,31.4777,32.0,31.5446,-0.5223,-0.0669,26.31053
255.493,26.316,4.92,28.3,31.4844,32.0,31.5517,-0.5156,-0.0673,26.31245
256.526,26.314,4.92,28.3,31.4912,32.0,31.5585,-0.5088,-0.0673,26.31241
257.546,26.316,4.84,28.3,31.4978,32.0,31.5666,-0.5022,-0.0688,26.30863
258.47,26.316,4.84,28.3,31.5037,32.0,31.5728,-0.4963,-0.0691,26.3127
259.491,26.314,4.84,28.3,31.5103,32.0,31.5795,-0.4897,-0.0692,26.31237
260.515,26.316,4.92,28.3,31.5171,32.0,31.5866,-0.4829,-0.0695,26.31233
261.537,26.317,4.92,28.3,31.5238,32.0,31.5938,-0.4762,-0.07,26.31248
262.476,26.317,4.88,28.3,31.5299,32.0,31.6004,-0.4701,-0.0705,26.31278
263.487,26.316,4.88,28.3,31.5365,32.0,31.6072,-0.4635,-0.0707,26.31344
264.504,26.316,4.88,28.3,31.5431,32.0,31.6141,-0.4569,-0.071,26.31246
265.53,26.317,4.92,28.3,31.5499,32.0,31.6212,-0.4501,-0.0713,26.31338
266.557,26.319,4.92,28.3,31.5566,32.0,31.6287,-0.4434,-0.0721,26.31346
267.487,26.317,4.88,28.3,31.5627,32.0,31.6349,-0.4373,-0.0723,26.31478
268.502,26.322,4.88,28.3,31.5693,32.0,31.6433,-0.4307,-0.074,26.31346
269.522,26.319,4.92,28.3,31.576,32.0,31.65,-0.424,-0.074,26.31925
270.556,26.322,4.84,28.3,31.5827,32.0,31.6584,-0.4173,-0.0757,26.31352
271.494,26.322,4.84,28.3,31.5887,32.0,31.6647,-0.4113,-0.076,26.31855
272.5,26.32,4.92,28.3,31.5953,32.0,31.6714,-0.4047,-0.076,26.32021
273.519,26.32,4.88,28.3,31.602,32.0,31.6785,-0.398,-0.0765,26.3155
274.541,26.32,4.84,28.3,31.6086,32.0,31.6856,-0.3914,-0.077,26.31542
275.566,26.322,4.92,28.3,31.6153,32.0,31.6927,-0.3847,-0.0774,26.31822
276.594,26.325,4.92,28.3,31.6221,32.0,31.7006,-0.3779,-0.0785,26.31836
277.513,26.325,4.92,28.3,31.6281,32.0,31.7069,-0.3719,-0.0788,26.32166
278.537,26.323,4.88,28.3,31.6348,32.0,31.7137,-0.3652,-0.0789,26.32034
279.56,26.325,4.92,28.3,31.6415,32.0,31.721,-0.3585,-0.0795,26.32026
280.587,26.323,4.92,28.3,31.6483,32.0,31.7278,-0.3517,-0.0796,26.32129
281.519,26.323,4.88,28.3,31.6543,32.0,31.7343,-0.3457,-0.08,26.31875
282.532,26.323,4.84,28.3,31.6609,32.0,31.7414,-0.3391,-0.0805,26.31841
283.654,26.326,4.92,28.3,31.6683,32.0,31.7494,-0.3317,-0.0812,26.32083
284.576,26.326,4.92,28.3,31.6743,32.0,31.7557,-0.3257,-0.0814,26.32265
285.6,26.326,4.88,28.3,31.681,32.0,31.7629,-0.319,-0.0819,26.32135
286.534,26.325,4.92,28.4,31.6871,32.0,31.7691,-0.3129,-0.082,26.32352
287.547,26.326,4.88,28.3,31.6937,32.0,31.7765,-0.3063,-0.0827,26.32044
288.57,26.326,4.88,28.4,31.7004,32.0,31.7835,-0.2996,-0.0831,26.32226
289.6,26.325,4.92,28.3,31.7072,32.0,31.7903,-0.2928,-0.0831,26.3232
290.537,26.325,4.92,28.3,31.7133,32.0,31.7967,-0.2867,-0.0834,26.32167
291.54,26.328,4.92,28.3,31.7199,32.0,31.8043,-0.2801,-0.0844,26.32143
292.563,26.326,4.84,28.4,31.7265,32.0,31.8112,-0.2735,-0.0847,26.32238
293.59,26.329,4.88,28.3,31.7332,32.0,31.8187,-0.2668,-0.0855,26.32318
294.614,26.328,4.84,28.4,31.7398,32.0,31.8257,-0.2602,-0.0858,26.32425
295.641,26.326,4.88,28.3,31.7465,32.0,31.8324,-0.2535,-0.0858,26.32513
296.563,26.326,4.88,28.3,31.7525,32.0,31.8386,-0.2475,-0.0861,26.32268
297.582,26.331,4.92,28.4,31.7592,32.0,31.8467,-0.2408,-0.0875,26.32329
298.605,26.331,4.84,28.3,31.7658,32.0,31.854,-0.2342,-0.0882,26.32533
299.551,26.329,4.88,28.3,31.772,32.0,31.8602,-0.228,-0.0882,26.32837
